timestamp,symbol,open,high,low,close,volume,timeframe
2010-02-11T05:00:00.000Z,TQQQ,0.193824,0.207172,0.193203,0.206055,6912000,1d
2010-02-12T05:00:00.000Z,TQQQ,0.200448,0.208685,0.199282,0.206898,17203200,1d
2010-02-16T05:00:00.000Z,TQQQ,0.211762,0.215409,0.208437,0.214913,19238400,1d
2010-02-17T05:00:00.000Z,TQQQ,0.217791,0.21861,0.214516,0.21856,38361600,1d
2010-02-18T05:00:00.000Z,TQQQ,0.218337,0.224018,0.217021,0.222704,77721600,1d
2010-02-19T05:00:00.000Z,TQQQ,0.22119,0.225607,0.219503,0.222704,92966400,1d
2010-02-22T05:00:00.000Z,TQQQ,0.225333,0.225333,0.218634,0.22114,50995200,1d
2010-02-23T05:00:00.000Z,TQQQ,0.219924,0.221115,0.209579,0.212506,82252800,1d
2010-02-24T05:00:00.000Z,TQQQ,0.216253,0.221438,0.215086,0.218933,70617600,1d
2010-02-25T05:00:00.000Z,TQQQ,0.211936,0.220297,0.207693,0.218808,91238400,1d
2010-02-26T05:00:00.000Z,TQQQ,0.218163,0.222456,0.216005,0.221537,57600000,1d
2010-03-01T05:00:00.000Z,TQQQ,0.224341,0.231983,0.224341,0.23104,28454400,1d
2010-03-02T05:00:00.000Z,TQQQ,0.233074,0.237441,0.231809,0.232429,48422400,1d
2010-03-03T05:00:00.000Z,TQQQ,0.235035,0.237069,0.231462,0.23372,47961600,1d
2010-03-04T05:00:00.000Z,TQQQ,0.234538,0.236622,0.230891,0.2363,29452800,1d
2010-03-05T05:00:00.000Z,TQQQ,0.241336,0.247837,0.240046,0.246745,26880000,1d
2010-03-08T05:00:00.000Z,TQQQ,0.246969,0.249847,0.246969,0.248061,25344000,1d
2010-03-09T05:00:00.000Z,TQQQ,0.246695,0.256322,0.246497,0.252452,46425600,1d
2010-03-10T05:00:00.000Z,TQQQ,0.2528,0.260168,0.252625,0.25863,40089600,1d
2010-03-11T05:00:00.000Z,TQQQ,0.257067,0.261384,0.255355,0.261011,53913600,1d
2010-03-12T05:00:00.000Z,TQQQ,0.26389,0.26389,0.258605,0.261607,36134400,1d
2010-03-15T04:00:00.000Z,TQQQ,0.25987,0.261632,0.254313,0.259845,42393600,1d
2010-03-16T04:00:00.000Z,TQQQ,0.262401,0.265503,0.259672,0.264759,46579200,1d
2010-03-17T04:00:00.000Z,TQQQ,0.265503,0.270365,0.264386,0.266594,39820800,1d
2010-03-18T04:00:00.000Z,TQQQ,0.267512,0.270143,0.26575,0.269298,52185600,1d
2010-03-19T04:00:00.000Z,TQQQ,0.264535,0.272251,0.261707,0.264535,40051200,1d
2010-03-22T04:00:00.000Z,TQQQ,0.261433,0.274857,0.260441,0.27168,58790400,1d
2010-03-23T04:00:00.000Z,TQQQ,0.273541,0.277958,0.269298,0.277362,55334400,1d
2010-03-24T04:00:00.000Z,TQQQ,0.275402,0.275998,0.27168,0.273417,89241600,1d
2010-03-25T04:00:00.000Z,TQQQ,0.280091,0.283019,0.271482,0.271705,93926400,1d
2010-03-26T04:00:00.000Z,TQQQ,0.275576,0.278354,0.268827,0.27312,84288000,1d
2010-03-29T04:00:00.000Z,TQQQ,0.277238,0.279695,0.274832,0.276866,38054400,1d
2010-03-30T04:00:00.000Z,TQQQ,0.279149,0.282176,0.274087,0.279769,39897600,1d
2010-03-31T04:00:00.000Z,TQQQ,0.276643,0.280364,0.274087,0.275998,59558400,1d
2010-04-01T04:00:00.000Z,TQQQ,0.279074,0.284409,0.269274,0.275452,116620800,1d
2010-04-05T04:00:00.000Z,TQQQ,0.277461,0.285079,0.275403,0.283416,67584000,1d
2010-04-06T04:00:00.000Z,TQQQ,0.281257,0.288155,0.279471,0.285575,58713600,1d
2010-04-07T04:00:00.000Z,TQQQ,0.284607,0.287708,0.279,0.283962,106252800,1d
2010-04-08T04:00:00.000Z,TQQQ,0.281084,0.286641,0.276792,0.284979,69657600,1d
2010-04-09T04:00:00.000Z,TQQQ,0.285922,0.290809,0.283713,0.290115,58099200,1d
2010-04-12T04:00:00.000Z,TQQQ,0.291108,0.293514,0.289197,0.291281,48806400,1d
2010-04-13T04:00:00.000Z,TQQQ,0.290339,0.296144,0.287708,0.295673,67238400,1d
2010-04-14T04:00:00.000Z,TQQQ,0.299891,0.306341,0.299271,0.306093,61094400,1d
2010-04-15T04:00:00.000Z,TQQQ,0.305771,0.311329,0.305498,0.310187,45772800,1d
2010-04-16T04:00:00.000Z,TQQQ,0.306912,0.309914,0.29339,0.299146,129484800,1d
2010-04-19T04:00:00.000Z,TQQQ,0.296343,0.301404,0.287807,0.298675,112742400,1d
2010-04-20T04:00:00.000Z,TQQQ,0.303314,0.305176,0.297633,0.303091,56102400,1d
2010-04-21T04:00:00.000Z,TQQQ,0.309244,0.311055,0.302694,0.308426,83980800,1d
2010-04-22T04:00:00.000Z,TQQQ,0.299419,0.314032,0.294308,0.312991,122841600,1d
2010-04-23T04:00:00.000Z,TQQQ,0.313288,0.318126,0.309592,0.317135,82368000,1d
2010-04-26T04:00:00.000Z,TQQQ,0.317358,0.319739,0.313239,0.314777,80524800,1d
2010-04-27T04:00:00.000Z,TQQQ,0.311726,0.31505,0.29277,0.29535,133747200,1d
2010-04-28T04:00:00.000Z,TQQQ,0.299891,0.300188,0.288874,0.296045,125068800,1d
2010-04-29T04:00:00.000Z,TQQQ,0.300163,0.312643,0.300139,0.311155,84748800,1d
2010-04-30T04:00:00.000Z,TQQQ,0.310684,0.312147,0.29205,0.29282,88512000,1d
2010-05-03T04:00:00.000Z,TQQQ,0.296244,0.309194,0.296169,0.304778,52608000,1d
2010-05-04T04:00:00.000Z,TQQQ,0.293241,0.293266,0.271209,0.277834,137241600,1d
2010-05-05T04:00:00.000Z,TQQQ,0.269125,0.278156,0.263989,0.273268,138508800,1d
2010-05-06T04:00:00.000Z,TQQQ,0.267636,0.275352,0.168714,0.246497,217804800,1d
2010-05-07T04:00:00.000Z,TQQQ,0.239972,0.248929,0.212655,0.228559,248256000,1d
2010-05-10T04:00:00.000Z,TQQQ,0.257414,0.263418,0.256,0.262649,189273600,1d
2010-05-11T04:00:00.000Z,TQQQ,0.255231,0.272921,0.253742,0.262476,147033600,1d
2010-05-12T04:00:00.000Z,TQQQ,0.266073,0.277189,0.265081,0.276618,108556800,1d
2010-05-13T04:00:00.000Z,TQQQ,0.273963,0.279719,0.262451,0.264113,105561600,1d
2010-05-14T04:00:00.000Z,TQQQ,0.257638,0.257985,0.239426,0.247862,154176000,1d
2010-05-17T04:00:00.000Z,TQQQ,0.250268,0.253991,0.235208,0.251212,136857600,1d
2010-05-18T04:00:00.000Z,TQQQ,0.257339,0.258779,0.237193,0.24161,190617600,1d
2010-05-19T04:00:00.000Z,TQQQ,0.237441,0.243147,0.226847,0.235233,237772800,1d
2010-05-20T04:00:00.000Z,TQQQ,0.220991,0.22258,0.207048,0.211439,272985600,1d
2010-05-21T04:00:00.000Z,TQQQ,0.198562,0.219652,0.196454,0.213077,234316800,1d
2010-05-24T04:00:00.000Z,TQQQ,0.214243,0.222182,0.212358,0.214839,155020800,1d
2010-05-25T04:00:00.000Z,TQQQ,0.198885,0.213994,0.192533,0.213325,172646400,1d
2010-05-26T04:00:00.000Z,TQQQ,0.216625,0.225532,0.205138,0.206725,208320000,1d
2010-05-27T04:00:00.000Z,TQQQ,0.220495,0.229676,0.218709,0.229105,173222400,1d
2010-05-28T04:00:00.000Z,TQQQ,0.230618,0.231263,0.219578,0.225904,166694400,1d
2010-06-01T04:00:00.000Z,TQQQ,0.223522,0.23506,0.218337,0.219652,202713600,1d
2010-06-02T04:00:00.000Z,TQQQ,0.223299,0.235109,0.218535,0.235109,113433600,1d
2010-06-03T04:00:00.000Z,TQQQ,0.236846,0.242552,0.23238,0.241212,114854400,1d
2010-06-04T04:00:00.000Z,TQQQ,0.226078,0.235084,0.214218,0.217394,245952000,1d
2010-06-07T04:00:00.000Z,TQQQ,0.219503,0.22191,0.204442,0.20479,168729600,1d
2010-06-08T04:00:00.000Z,TQQQ,0.206253,0.207619,0.195535,0.203649,265920000,1d
2010-06-09T04:00:00.000Z,TQQQ,0.207767,0.213598,0.196876,0.199157,229440000,1d
2010-06-10T04:00:00.000Z,TQQQ,0.206105,0.216104,0.204418,0.215682,155520000,1d
2010-06-11T04:00:00.000Z,TQQQ,0.208983,0.222182,0.208983,0.221314,125337600,1d
2010-06-14T04:00:00.000Z,TQQQ,0.227889,0.232256,0.220545,0.221438,227404800,1d
2010-06-15T04:00:00.000Z,TQQQ,0.22511,0.240195,0.22444,0.237615,200102400,1d
2010-06-16T04:00:00.000Z,TQQQ,0.237417,0.245629,0.236251,0.242403,158361600,1d
2010-06-17T04:00:00.000Z,TQQQ,0.246199,0.246572,0.238533,0.244835,163046400,1d
2010-06-18T04:00:00.000Z,TQQQ,0.2461,0.250443,0.243048,0.245505,139584000,1d
2010-06-21T04:00:00.000Z,TQQQ,0.254461,0.255553,0.23501,0.239054,219916800,1d
2010-06-22T04:00:00.000Z,TQQQ,0.241808,0.247068,0.232181,0.233397,179596800,1d
2010-06-23T04:00:00.000Z,TQQQ,0.234265,0.236672,0.225036,0.230271,224716800,1d
2010-06-24T04:00:00.000Z,TQQQ,0.227517,0.229501,0.217841,0.219106,239424000,1d
2010-06-25T04:00:00.000Z,TQQQ,0.221959,0.22444,0.214293,0.218957,177561600,1d
2010-06-28T04:00:00.000Z,TQQQ,0.219131,0.222406,0.212283,0.216997,164160000,1d
2010-06-29T04:00:00.000Z,TQQQ,0.206799,0.207172,0.187075,0.192782,438220800,1d
2010-06-30T04:00:00.000Z,TQQQ,0.189903,0.195337,0.18174,0.183254,183667200,1d
2010-07-01T04:00:00.000Z,TQQQ,0.184271,0.18581,0.170849,0.181468,252326400,1d
2010-07-02T04:00:00.000Z,TQQQ,0.181939,0.184048,0.174918,0.180475,147379200,1d
2010-07-06T04:00:00.000Z,TQQQ,0.187373,0.190821,0.176853,0.181418,156556800,1d
2010-07-07T04:00:00.000Z,TQQQ,0.182981,0.199108,0.182535,0.198562,160780800,1d
2010-07-08T04:00:00.000Z,TQQQ,0.203326,0.20412,0.194915,0.201912,207360000,1d
2010-07-09T04:00:00.000Z,TQQQ,0.201391,0.208412,0.200324,0.207569,142656000,1d
2010-07-12T04:00:00.000Z,TQQQ,0.206799,0.213052,0.205534,0.209926,98918400,1d
2010-07-13T04:00:00.000Z,TQQQ,0.214839,0.219875,0.210199,0.217097,174144000,1d
2010-07-14T04:00:00.000Z,TQQQ,0.218957,0.224267,0.216129,0.220569,109516800,1d
2010-07-15T04:00:00.000Z,TQQQ,0.219652,0.223274,0.212506,0.221339,114201600,1d
2010-07-16T04:00:00.000Z,TQQQ,0.219403,0.219677,0.202557,0.203525,181363200,1d
2010-07-19T04:00:00.000Z,TQQQ,0.204691,0.209405,0.199753,0.208115,124224000,1d
2010-07-20T04:00:00.000Z,TQQQ,0.197793,0.215558,0.196206,0.21469,127948800,1d
2010-07-21T04:00:00.000Z,TQQQ,0.222803,0.222803,0.205783,0.207172,172492800,1d
2010-07-22T04:00:00.000Z,TQQQ,0.215261,0.225408,0.215261,0.22114,126451200,1d
2010-07-23T04:00:00.000Z,TQQQ,0.218039,0.22717,0.216823,0.226897,138854400,1d
2010-07-26T04:00:00.000Z,TQQQ,0.227889,0.232529,0.224713,0.231883,100761600,1d
2010-07-27T04:00:00.000Z,TQQQ,0.235307,0.23635,0.228931,0.231834,119692800,1d
2010-07-28T04:00:00.000Z,TQQQ,0.231363,0.234265,0.224043,0.227095,77568000,1d
2010-07-29T04:00:00.000Z,TQQQ,0.230246,0.231735,0.214665,0.221686,152755200,1d
2010-07-30T04:00:00.000Z,TQQQ,0.216054,0.226872,0.212159,0.2232,129830400,1d
2010-08-02T04:00:00.000Z,TQQQ,0.231462,0.236945,0.228906,0.235208,90163200,1d
2010-08-03T04:00:00.000Z,TQQQ,0.234761,0.235506,0.229105,0.232777,64012800,1d
2010-08-04T04:00:00.000Z,TQQQ,0.235828,0.24017,0.232777,0.2395,80908800,1d
2010-08-05T04:00:00.000Z,TQQQ,0.235903,0.23893,0.233074,0.238087,66470400,1d
2010-08-06T04:00:00.000Z,TQQQ,0.229526,0.237987,0.226103,0.23697,152755200,1d
2010-08-09T04:00:00.000Z,TQQQ,0.24022,0.243147,0.237143,0.241113,85632000,1d
2010-08-10T04:00:00.000Z,TQQQ,0.235705,0.239302,0.229552,0.236002,158016000,1d
2010-08-11T04:00:00.000Z,TQQQ,0.223472,0.223622,0.213151,0.216575,154905600,1d
2010-08-12T04:00:00.000Z,TQQQ,0.203599,0.213449,0.202383,0.210471,145920000,1d
2010-08-13T04:00:00.000Z,TQQQ,0.208735,0.211117,0.206278,0.206278,57945600,1d
2010-08-16T04:00:00.000Z,TQQQ,0.203202,0.211613,0.200597,0.207444,95424000,1d
2010-08-17T04:00:00.000Z,TQQQ,0.212084,0.220892,0.210844,0.215335,120076800,1d
2010-08-18T04:00:00.000Z,TQQQ,0.214243,0.221636,0.211787,0.21727,71155200,1d
2010-08-19T04:00:00.000Z,TQQQ,0.214194,0.216401,0.203698,0.20928,102412800,1d
2010-08-20T04:00:00.000Z,TQQQ,0.207172,0.210149,0.203475,0.208561,88588800,1d
2010-08-23T04:00:00.000Z,TQQQ,0.213226,0.214491,0.202507,0.202805,108211200,1d
2010-08-24T04:00:00.000Z,TQQQ,0.19618,0.197644,0.188812,0.191169,144806400,1d
2010-08-25T04:00:00.000Z,TQQQ,0.187447,0.199257,0.186529,0.1969,144153600,1d
2010-08-26T04:00:00.000Z,TQQQ,0.199431,0.199753,0.189184,0.190474,132979200,1d
2010-08-27T04:00:00.000Z,TQQQ,0.193798,0.19762,0.182113,0.196776,192460800,1d
2010-08-30T04:00:00.000Z,TQQQ,0.193749,0.198935,0.19035,0.1904,105139200,1d
2010-08-31T04:00:00.000Z,TQQQ,0.187571,0.193451,0.184866,0.189457,156441600,1d
2010-09-01T04:00:00.000Z,TQQQ,0.196751,0.207246,0.196478,0.205336,129638400,1d
2010-09-02T04:00:00.000Z,TQQQ,0.206601,0.212382,0.205038,0.212382,54297600,1d
2010-09-03T04:00:00.000Z,TQQQ,0.218833,0.2232,0.216575,0.2232,135283200,1d
2010-09-07T04:00:00.000Z,TQQQ,0.220198,0.222852,0.217295,0.217766,97382400,1d
2010-09-08T04:00:00.000Z,TQQQ,0.220198,0.22908,0.220198,0.225458,113894400,1d
2010-09-09T04:00:00.000Z,TQQQ,0.232479,0.232851,0.227368,0.22831,90355200,1d
2010-09-10T04:00:00.000Z,TQQQ,0.229973,0.232008,0.226227,0.230768,63936000,1d
2010-09-13T04:00:00.000Z,TQQQ,0.236796,0.242677,0.236573,0.24094,83712000,1d
2010-09-14T04:00:00.000Z,TQQQ,0.239922,0.247713,0.238533,0.243992,84748800,1d
2010-09-15T04:00:00.000Z,TQQQ,0.242057,0.249351,0.240096,0.248135,67660800,1d
2010-09-16T04:00:00.000Z,TQQQ,0.247985,0.252055,0.245356,0.251633,93772800,1d
2010-09-17T04:00:00.000Z,TQQQ,0.256769,0.256769,0.250467,0.254313,114816000,1d
2010-09-20T04:00:00.000Z,TQQQ,0.257166,0.268927,0.256272,0.267562,105561600,1d
2010-09-21T04:00:00.000Z,TQQQ,0.267785,0.272921,0.26389,0.266718,173875200,1d
2010-09-22T04:00:00.000Z,TQQQ,0.263741,0.270664,0.261011,0.265453,96576000,1d
2010-09-23T04:00:00.000Z,TQQQ,0.26002,0.272673,0.259225,0.264658,137088000,1d
2010-09-24T04:00:00.000Z,TQQQ,0.274112,0.281357,0.272797,0.279645,126528000,1d
2010-09-27T04:00:00.000Z,TQQQ,0.280935,0.282399,0.275675,0.276444,97113600,1d
2010-09-28T04:00:00.000Z,TQQQ,0.27905,0.27905,0.263195,0.277138,146227200,1d
2010-09-29T04:00:00.000Z,TQQQ,0.274956,0.278702,0.271804,0.274906,63859200,1d
2010-09-30T04:00:00.000Z,TQQQ,0.279074,0.283987,0.2658,0.271184,177484800,1d
2010-10-01T04:00:00.000Z,TQQQ,0.277536,0.278652,0.266346,0.270341,117043200,1d
2010-10-04T04:00:00.000Z,TQQQ,0.267636,0.27039,0.256744,0.260962,123840000,1d
2010-10-05T04:00:00.000Z,TQQQ,0.270217,0.281729,0.26977,0.280389,109785600,1d
2010-10-06T04:00:00.000Z,TQQQ,0.279223,0.280985,0.267736,0.273244,88512000,1d
2010-10-07T04:00:00.000Z,TQQQ,0.277884,0.278082,0.269298,0.275923,78950400,1d
2010-10-08T04:00:00.000Z,TQQQ,0.276419,0.28349,0.270788,0.281481,68544000,1d
2010-10-11T04:00:00.000Z,TQQQ,0.282275,0.285971,0.279496,0.282052,38131200,1d
2010-10-12T04:00:00.000Z,TQQQ,0.280191,0.28942,0.27359,0.287907,97728000,1d
2010-10-13T04:00:00.000Z,TQQQ,0.293216,0.298501,0.290735,0.294903,96844800,1d
2010-10-14T04:00:00.000Z,TQQQ,0.295251,0.296963,0.288775,0.293266,79756800,1d
2010-10-15T04:00:00.000Z,TQQQ,0.303761,0.311974,0.296988,0.311974,119577600,1d
2010-10-18T04:00:00.000Z,TQQQ,0.31247,0.315174,0.308624,0.311974,86976000,1d
2010-10-19T04:00:00.000Z,TQQQ,0.299617,0.306763,0.292348,0.299568,127296000,1d
2010-10-20T04:00:00.000Z,TQQQ,0.302496,0.312544,0.30061,0.305796,93465600,1d
2010-10-21T04:00:00.000Z,TQQQ,0.311974,0.315348,0.298997,0.307929,109708800,1d
2010-10-22T04:00:00.000Z,TQQQ,0.308302,0.314628,0.306689,0.313933,58713600,1d
2010-10-25T04:00:00.000Z,TQQQ,0.317705,0.324106,0.317705,0.318697,77184000,1d
2010-10-26T04:00:00.000Z,TQQQ,0.313686,0.322841,0.310014,0.320607,74841600,1d
2010-10-27T04:00:00.000Z,TQQQ,0.316514,0.324726,0.314778,0.323908,112857600,1d
2010-10-28T04:00:00.000Z,TQQQ,0.328399,0.328572,0.318052,0.325768,107788800,1d
2010-10-29T04:00:00.000Z,TQQQ,0.325694,0.329465,0.323784,0.324205,80755200,1d
2010-11-01T04:00:00.000Z,TQQQ,0.327505,0.33413,0.32031,0.32495,85209600,1d
2010-11-02T04:00:00.000Z,TQQQ,0.332765,0.337504,0.331227,0.334799,68121600,1d
2010-11-03T04:00:00.000Z,TQQQ,0.336487,0.339737,0.327282,0.339637,115161600,1d
2010-11-04T04:00:00.000Z,TQQQ,0.351472,0.35584,0.349016,0.351671,111859200,1d
2010-11-05T04:00:00.000Z,TQQQ,0.352515,0.354202,0.34909,0.352093,113971200,1d
2010-11-08T05:00:00.000Z,TQQQ,0.350306,0.354797,0.347776,0.352986,103449600,1d
